"Raison Sociale";"Type";"Sous-type";"Ligne adresse 1";"Numéro";"Complément numéro";"Type de voie";"Voie";"Ligne adresse 3";"Boite postale";"Code postal";"Ville";"Bureau distributeur";"Indicateur cédex";"Cédex";"Téléphone";"Mail";"Adresse Web";"Longitude";"Latitude";
"Eglise Saint Jacques le Majeur";"cdt:Monument";"Eglise";"17 Place Lescure";"";"";"";"";"";"";"13850";"Gréasque";"GREASQUE";"non";"";"04 42 58 80 19";"";"";"5.54699";"43.424807";
"Monument aux morts";"cdt:Monument";"Patrimoine divers";"Place Bellot";"";"";"";"";"";"";"13220";"Châteauneuf les Martigues";"CHATEAUNEUF LES MARTIGUES";"non";"";"04 42 76 89 00";"";"";"5.146185";"43.390426";
"Eglise Notre Dame de l'Etang";"cdt:Monument";"Eglise";"Avenue St-Médard";"";"";"";"";"";"";"13220";"Châteauneuf les Martigues";"CHATEAUNEUF LES MARTIGUES";"non";"";"04 42 76 89 00";"";"";"5.146185";"43.390426";
"Port des Trois Frères";"cdt:Site";"Port";"Résidence du Port";"";"";"";"";"La Mède";"";"13220";"Châteauneuf les Martigues";"CHATEAUNEUF LES MARTIGUES";"non";"";"04 42 76 89 00";"";"";"5.146185";"43.390426";
"Lavoir";"cdt:Monument";"Lavoir";"Parking des résistants";"";"";"";"";"";"";"13220";"Châteauneuf les Martigues";"CHATEAUNEUF LES MARTIGUES";"non";"";"04 42 76 89 00";"";"";"5.164636";"43.38296";
"Sentier de découverte";"cdt:Site";"Route - Voie historique";"";"";"";"";"";"";"";"13220";"Châteauneuf les Martigues";"CHATEAUNEUF LES MARTIGUES";"non";"";"04 42 79 81 56";"";"";"5.146185";"43.390426";
"Vallon du Saut";"cdt:Site";"Site archéologique divers";"Vallon du Saut";"";"";"";"";"";"";"13220";"Châteauneuf les Martigues";"CHATEAUNEUF LES MARTIGUES";"non";"";"04 42 76 89 00";"";"";"5.146185";"43.390426";
"Fontaine Erasme Guichet";"cdt:Monument";"Fontaine";"Place Erasme Guichet";"";"";"";"";"";"";"13220";"Châteauneuf les Martigues";"CHATEAUNEUF LES MARTIGUES";"non";"";"04 42 76 89 00";"";"";"5.146185";"43.390426";
"Stèle Henri Fabre";"cdt:Monument";"Patrimoine divers";"Cité la Pradine";"";"";"";"";"";"";"13220";"Châteauneuf les Martigues";"CHATEAUNEUF LES MARTIGUES";"non";"";"04 42 76 89 00";"";"";"5.146185";"43.390426";
"Eglise Sainte-Cécile";"cdt:Monument";"Eglise";"Bd Germain Clairin";"";"";"";"";"";"";"13220";"Châteauneuf les Martigues";"CHATEAUNEUF LES MARTIGUES";"non";"";"04 42 79 88 28";"";"";"5.146185";"43.390426";
